image,cpu_time_ms,gpu_time_ms,speedup
4.1.01.tiff,387.27,2.01,192.34
4.1.02.tiff,2.33,2.02,1.15
4.1.03.tiff,3.01,2.17,1.39
4.1.04.tiff,3.24,2.42,1.34
4.1.05.tiff,3.98,3.16,1.26
4.1.06.tiff,4.51,4.11,1.1
4.1.07.tiff,5.29,4.41,1.2
4.1.08.tiff,4.35,3.0,1.45
4.2.01.tiff,25.25,5.5,4.59
4.2.03.tiff,14.58,4.24,3.44
4.2.05.tiff,27.15,6.42,4.23
4.2.06.tiff,22.74,8.19,2.78
4.2.07.tiff,16.42,5.45,3.01
5.1.09.tiff,5.0,1.0,5.0
5.1.10.tiff,4.31,4.01,1.08
5.1.11.tiff,5.18,2.04,2.55
5.1.12.tiff,4.31,3.36,1.28
5.1.13.tiff,4.8,3.7,1.3
5.1.14.tiff,4.24,3.07,1.38
5.2.08.tiff,28.58,5.38,5.31
5.2.09.tiff,18.47,5.25,3.52
5.2.10.tiff,16.45,4.04,4.07
5.3.01.tiff,59.97,8.77,6.84
5.3.02.tiff,56.43,7.24,7.8
7.1.01.tiff,12.0,3.0,4.0
7.1.02.tiff,15.5,4.06,3.82
7.1.03.tiff,15.62,4.22,3.7
7.1.04.tiff,18.52,5.05,3.66
7.1.05.tiff,11.31,3.23,3.5
7.1.06.tiff,16.23,4.0,4.06
7.1.07.tiff,20.43,4.06,5.03
7.1.08.tiff,22.37,5.11,4.38
7.1.09.tiff,15.33,4.15,3.69
7.1.10.tiff,12.91,3.67,3.52
7.2.01.tiff,55.02,5.13,10.72
boat.512.tiff,9.46,2.21,4.27
gray21.512.tiff,10.41,2.04,5.09
house.tiff,14.91,3.06,4.87
ruler.512.tiff,12.01,3.08,3.91
